episode_id,scenario,provenance,gold_root,red_herrings,stated_cause,machine_label,human_label,notes
azure_leapyear_cert#0,azure_leapyear_cert,gold,"the 'fabric-agent' computed transfer-certificate validity as date+1y and on a leap day produced an invalid date, so cert generation failed and guest agents couldn't connect; renewing/regenerating the certificate is the fix — it is not a guest-VM or network fault",a guest-VM operating-system fault | a network connectivity problem | a bad deploy | the hosts need more capacity,"the 'fabric-agent' computed transfer-certificate validity as date+1y and on a leap day produced an invalid date, so cert generation failed and guest agents couldn't connect; renewing/regenerating the certificate is the fix — it is not a guest-VM or network fault",CORRECT,,
azure_leapyear_cert#1,azure_leapyear_cert,herring,"the 'fabric-agent' computed transfer-certificate validity as date+1y and on a leap day produced an invalid date, so cert generation failed and guest agents couldn't connect; renewing/regenerating the certificate is the fix — it is not a guest-VM or network fault",a guest-VM operating-system fault | a network connectivity problem | a bad deploy | the hosts need more capacity,the incident is caused by a guest-VM operating-system fault,WRONG,,
azure_leapyear_cert#2,azure_leapyear_cert,generic,"the 'fabric-agent' computed transfer-certificate validity as date+1y and on a leap day produced an invalid date, so cert generation failed and guest agents couldn't connect; renewing/regenerating the certificate is the fix — it is not a guest-VM or network fault",a guest-VM operating-system fault | a network connectivity problem | a bad deploy | the hosts need more capacity,the service is just overloaded and needs more replicas,WRONG,,
bad_deploy_leaf#0,bad_deploy_leaf,gold,'checkout-api' is failing due to a bad deployment (a bad revision): the error rate spiked right after the rollout,resource exhaustion | a network fault | scaling up will help,'checkout-api' is failing due to a bad deployment (a bad revision): the error rate spiked right after the rollout,CORRECT,,
bad_deploy_leaf#1,bad_deploy_leaf,herring,'checkout-api' is failing due to a bad deployment (a bad revision): the error rate spiked right after the rollout,resource exhaustion | a network fault | scaling up will help,the incident is caused by resource exhaustion,WRONG,,
bad_deploy_leaf#2,bad_deploy_leaf,generic,'checkout-api' is failing due to a bad deployment (a bad revision): the error rate spiked right after the rollout,resource exhaustion | a network fault | scaling up will help,the service is just overloaded and needs more replicas,WRONG,,
billing_disk_fill#0,billing_disk_fill,gold,'billing-worker' filled its disk with unrotated logs (100% volume) so writes fail; rotating/truncating the logs frees the volume,a memory leak | needs more replicas | a database outage,'billing-worker' filled its disk with unrotated logs (100% volume) so writes fail; rotating/truncating the logs frees the volume,CORRECT,,
billing_disk_fill#1,billing_disk_fill,herring,'billing-worker' filled its disk with unrotated logs (100% volume) so writes fail; rotating/truncating the logs frees the volume,a memory leak | needs more replicas | a database outage,the incident is caused by a memory leak,WRONG,,
billing_disk_fill#2,billing_disk_fill,generic,'billing-worker' filled its disk with unrotated logs (100% volume) so writes fail; rotating/truncating the logs frees the volume,a memory leak | needs more replicas | a database outage,the service is just overloaded and needs more replicas,WRONG,,
checkout_bad_rollout#0,checkout_bad_rollout,gold,'checkout-api' shipped a bad revision: the new build returns 5xx immediately after rollout; rolling back to the previous revision fixes it,resource exhaustion | a network fault | scaling up will help | a certificate problem,'checkout-api' shipped a bad revision: the new build returns 5xx immediately after rollout; rolling back to the previous revision fixes it,CORRECT,,
checkout_bad_rollout#1,checkout_bad_rollout,herring,'checkout-api' shipped a bad revision: the new build returns 5xx immediately after rollout; rolling back to the previous revision fixes it,resource exhaustion | a network fault | scaling up will help | a certificate problem,the incident is caused by resource exhaustion,WRONG,,
checkout_bad_rollout#2,checkout_bad_rollout,generic,'checkout-api' shipped a bad revision: the new build returns 5xx immediately after rollout; rolling back to the previous revision fixes it,resource exhaustion | a network fault | scaling up will help | a certificate problem,the service is just overloaded and needs more replicas,WRONG,,
circleci_kubeproxy_iptables#0,circleci_kubeproxy_iptables,gold,"'kube-proxy' is failing iptables-restore after a kube-proxy/kubelet version skew, so Service routing rules stop updating and svc-to-svc traffic breaks — the app/DNS symptoms are downstream",CoreDNS / DNS is the root cause | a bad Kubernetes app deploy | the services need more replicas | restarting CoreDNS will fix it,"'kube-proxy' is failing iptables-restore after a kube-proxy/kubelet version skew, so Service routing rules stop updating and svc-to-svc traffic breaks — the app/DNS symptoms are downstream",CORRECT,,
circleci_kubeproxy_iptables#1,circleci_kubeproxy_iptables,herring,"'kube-proxy' is failing iptables-restore after a kube-proxy/kubelet version skew, so Service routing rules stop updating and svc-to-svc traffic breaks — the app/DNS symptoms are downstream",CoreDNS / DNS is the root cause | a bad Kubernetes app deploy | the services need more replicas | restarting CoreDNS will fix it,the incident is caused by CoreDNS / DNS is the root cause,WRONG,,
circleci_kubeproxy_iptables#2,circleci_kubeproxy_iptables,generic,"'kube-proxy' is failing iptables-restore after a kube-proxy/kubelet version skew, so Service routing rules stop updating and svc-to-svc traffic breaks — the app/DNS symptoms are downstream",CoreDNS / DNS is the root cause | a bad Kubernetes app deploy | the services need more replicas | restarting CoreDNS will fix it,the service is just overloaded and needs more replicas,WRONG,,
cloudflare_bgp_reorder#0,cloudflare_bgp_reorder,gold,"a BGP policy term re-order on 'bgp-policy' moved site-local advertisement behind a REJECT-THE-REST term, silently withdrawing prefixes so data centers lost mutual reachability; the harmless-looking diff is the cause and concurrent un-coordinated reverts re-introduce the bad state",a hardware/link failure | the edge needs more capacity | a traffic flood / DDoS | concurrent manual reverts are safe,"a BGP policy term re-order on 'bgp-policy' moved site-local advertisement behind a REJECT-THE-REST term, silently withdrawing prefixes so data centers lost mutual reachability; the harmless-looking diff is the cause and concurrent un-coordinated reverts re-introduce the bad state",CORRECT,,
cloudflare_bgp_reorder#1,cloudflare_bgp_reorder,herring,"a BGP policy term re-order on 'bgp-policy' moved site-local advertisement behind a REJECT-THE-REST term, silently withdrawing prefixes so data centers lost mutual reachability; the harmless-looking diff is the cause and concurrent un-coordinated reverts re-introduce the bad state",a hardware/link failure | the edge needs more capacity | a traffic flood / DDoS | concurrent manual reverts are safe,the incident is caused by a hardware/link failure,WRONG,,
cloudflare_bgp_reorder#2,cloudflare_bgp_reorder,generic,"a BGP policy term re-order on 'bgp-policy' moved site-local advertisement behind a REJECT-THE-REST term, silently withdrawing prefixes so data centers lost mutual reachability; the harmless-looking diff is the cause and concurrent un-coordinated reverts re-introduce the bad state",a hardware/link failure | the edge needs more capacity | a traffic flood / DDoS | concurrent manual reverts are safe,the service is just overloaded and needs more replicas,WRONG,,
cloudflare_byzantine_switch#0,cloudflare_byzantine_switch,gold,"a partially-failed 'agg-switch' (control-plane down, data-plane up) created asymmetric reachability so the cluster manager saw conflicting views (Byzantine) and elected no leader; restarting the switch CP just re-enters the degraded state — hard-down the switch for a clean partition",a clean full switch failure | restarting the cluster nodes will fix it | a database problem | a bad deploy,"a partially-failed 'agg-switch' (control-plane down, data-plane up) created asymmetric reachability so the cluster manager saw conflicting views (Byzantine) and elected no leader; restarting the switch CP just re-enters the degraded state — hard-down the switch for a clean partition",CORRECT,,
cloudflare_byzantine_switch#1,cloudflare_byzantine_switch,herring,"a partially-failed 'agg-switch' (control-plane down, data-plane up) created asymmetric reachability so the cluster manager saw conflicting views (Byzantine) and elected no leader; restarting the switch CP just re-enters the degraded state — hard-down the switch for a clean partition",a clean full switch failure | restarting the cluster nodes will fix it | a database problem | a bad deploy,the incident is caused by a clean full switch failure,WRONG,,
cloudflare_byzantine_switch#2,cloudflare_byzantine_switch,generic,"a partially-failed 'agg-switch' (control-plane down, data-plane up) created asymmetric reachability so the cluster manager saw conflicting views (Byzantine) and elected no leader; restarting the switch CP just re-enters the degraded state — hard-down the switch for a clean partition",a clean full switch failure | restarting the cluster nodes will fix it | a database problem | a bad deploy,the service is just overloaded and needs more replicas,WRONG,,
cloudflare_leap_second#0,cloudflare_leap_second,gold,"a leap-second made a time delta go negative and panic the 'rrdns' service (a latent code path on a clock discontinuity); the DNS failures are downstream of the crashing service, not an upstream DNS problem",an upstream DNS outage | a capacity / scaling problem | a bad deploy | a network partition,"a leap-second made a time delta go negative and panic the 'rrdns' service (a latent code path on a clock discontinuity); the DNS failures are downstream of the crashing service, not an upstream DNS problem",CORRECT,,
cloudflare_leap_second#1,cloudflare_leap_second,herring,"a leap-second made a time delta go negative and panic the 'rrdns' service (a latent code path on a clock discontinuity); the DNS failures are downstream of the crashing service, not an upstream DNS problem",an upstream DNS outage | a capacity / scaling problem | a bad deploy | a network partition,the incident is caused by an upstream DNS outage,WRONG,,
cloudflare_leap_second#2,cloudflare_leap_second,generic,"a leap-second made a time delta go negative and panic the 'rrdns' service (a latent code path on a clock discontinuity); the DNS failures are downstream of the crashing service, not an upstream DNS problem",an upstream DNS outage | a capacity / scaling problem | a bad deploy | a network partition,the service is just overloaded and needs more replicas,CORRECT,,
cloudflare_waf#0,cloudflare_waf,gold,"a WAF security-rule change activated a latent broken code path in 'edge-waf', crashing edge request handling; the origin failures are misattributed. Disable the bad rule path / roll back the edge-waf revision.",the origin servers being down | a network or DNS fault | scaling the edge will help | a datastore problem,"a WAF security-rule change activated a latent broken code path in 'edge-waf', crashing edge request handling; the origin failures are misattributed. Disable the bad rule path / roll back the edge-waf revision.",CORRECT,,
cloudflare_waf#1,cloudflare_waf,herring,"a WAF security-rule change activated a latent broken code path in 'edge-waf', crashing edge request handling; the origin failures are misattributed. Disable the bad rule path / roll back the edge-waf revision.",the origin servers being down | a network or DNS fault | scaling the edge will help | a datastore problem,the incident is caused by the origin servers being down,WRONG,,
cloudflare_waf#2,cloudflare_waf,generic,"a WAF security-rule change activated a latent broken code path in 'edge-waf', crashing edge request handling; the origin failures are misattributed. Disable the bad rule path / roll back the edge-waf revision.",the origin servers being down | a network or DNS fault | scaling the edge will help | a datastore problem,the service is just overloaded and needs more replicas,WRONG,,
cloudflare_waf_regex#0,cloudflare_waf_regex,gold,"a WAF rule with a catastrophically-backtracking regex was deployed to 'waf-engine', pinning CPU to 100% on every edge request; the loud CPU saturation is a symptom of the bad rule — rolling back the rule fixes it, scaling CPU does not",a real CPU capacity shortage (scale up) | a traffic flood / DDoS | a memory leak | an upstream origin outage,"a WAF rule with a catastrophically-backtracking regex was deployed to 'waf-engine', pinning CPU to 100% on every edge request; the loud CPU saturation is a symptom of the bad rule — rolling back the rule fixes it, scaling CPU does not",CORRECT,,
cloudflare_waf_regex#1,cloudflare_waf_regex,herring,"a WAF rule with a catastrophically-backtracking regex was deployed to 'waf-engine', pinning CPU to 100% on every edge request; the loud CPU saturation is a symptom of the bad rule — rolling back the rule fixes it, scaling CPU does not",a real CPU capacity shortage (scale up) | a traffic flood / DDoS | a memory leak | an upstream origin outage,the incident is caused by a real CPU capacity shortage (scale up),WRONG,,
cloudflare_waf_regex#2,cloudflare_waf_regex,generic,"a WAF rule with a catastrophically-backtracking regex was deployed to 'waf-engine', pinning CPU to 100% on every edge request; the loud CPU saturation is a symptom of the bad rule — rolling back the rule fixes it, scaling CPU does not",a real CPU capacity shortage (scale up) | a traffic flood / DDoS | a memory leak | an upstream origin outage,the service is just overloaded and needs more replicas,WRONG,,
cloudflare_zonemd_stale_cache#0,cloudflare_zonemd_stale_cache,gold,"a new ZONEMD record silently broke the 'static-zone-parser' so it served a 13-day-stale root zone until DNSSEC signatures expired and nodes SERVFAILed; it looks like upstream DNSSEC but is an internal parser + stale cache, and a per-request override-rule does NOT propagate",an upstream DNS/DNSSEC outage | an override-rule tag will fix it | the resolver needs scaling | a bad deploy,"a new ZONEMD record silently broke the 'static-zone-parser' so it served a 13-day-stale root zone until DNSSEC signatures expired and nodes SERVFAILed; it looks like upstream DNSSEC but is an internal parser + stale cache, and a per-request override-rule does NOT propagate",CORRECT,,
cloudflare_zonemd_stale_cache#1,cloudflare_zonemd_stale_cache,herring,"a new ZONEMD record silently broke the 'static-zone-parser' so it served a 13-day-stale root zone until DNSSEC signatures expired and nodes SERVFAILed; it looks like upstream DNSSEC but is an internal parser + stale cache, and a per-request override-rule does NOT propagate",an upstream DNS/DNSSEC outage | an override-rule tag will fix it | the resolver needs scaling | a bad deploy,the incident is caused by an upstream DNS/DNSSEC outage,WRONG,,
cloudflare_zonemd_stale_cache#2,cloudflare_zonemd_stale_cache,generic,"a new ZONEMD record silently broke the 'static-zone-parser' so it served a 13-day-stale root zone until DNSSEC signatures expired and nodes SERVFAILed; it looks like upstream DNSSEC but is an internal parser + stale cache, and a per-request override-rule does NOT propagate",an upstream DNS/DNSSEC outage | an override-rule tag will fix it | the resolver needs scaling | a bad deploy,the service is just overloaded and needs more replicas,WRONG,,
conntrack_exhaustion#0,conntrack_exhaustion,gold,the kernel conntrack table on 'nat-gateway' filled up so new NAT'd connections are dropped; the egress/webhook failures look like a downstream outage but are conntrack exhaustion — restart/flush to reclaim the table (or raise the limit),a downstream provider outage | the services need more replicas | a bad deploy | a DNS resolution failure,the kernel conntrack table on 'nat-gateway' filled up so new NAT'd connections are dropped; the egress/webhook failures look like a downstream outage but are conntrack exhaustion — restart/flush to reclaim the table (or raise the limit),CORRECT,,
conntrack_exhaustion#1,conntrack_exhaustion,herring,the kernel conntrack table on 'nat-gateway' filled up so new NAT'd connections are dropped; the egress/webhook failures look like a downstream outage but are conntrack exhaustion — restart/flush to reclaim the table (or raise the limit),a downstream provider outage | the services need more replicas | a bad deploy | a DNS resolution failure,the incident is caused by a downstream provider outage,WRONG,,
conntrack_exhaustion#2,conntrack_exhaustion,generic,the kernel conntrack table on 'nat-gateway' filled up so new NAT'd connections are dropped; the egress/webhook failures look like a downstream outage but are conntrack exhaustion — restart/flush to reclaim the table (or raise the limit),a downstream provider outage | the services need more replicas | a bad deploy | a DNS resolution failure,the service is just overloaded and needs more replicas,WRONG,,
cpu_saturation_leaf#0,cpu_saturation_leaf,gold,'thumbnailer' is CPU-starved (cpu_starve): its CPU is saturated so latency climbs; it needs more capacity,a memory problem / OOM | a bad deploy | a network/dependency fault,'thumbnailer' is CPU-starved (cpu_starve): its CPU is saturated so latency climbs; it needs more capacity,CORRECT,,
cpu_saturation_leaf#1,cpu_saturation_leaf,herring,'thumbnailer' is CPU-starved (cpu_starve): its CPU is saturated so latency climbs; it needs more capacity,a memory problem / OOM | a bad deploy | a network/dependency fault,the incident is caused by a memory problem / OOM,WRONG,,
cpu_saturation_leaf#2,cpu_saturation_leaf,generic,'thumbnailer' is CPU-starved (cpu_starve): its CPU is saturated so latency climbs; it needs more capacity,a memory problem / OOM | a bad deploy | a network/dependency fault,the service is just overloaded and needs more replicas,WRONG,,
crowdstrike_bsod#0,crowdstrike_bsod,gold,"the 'security-agent' DaemonSet shipped a bad Channel File (malformed content data, not a code/driver change) that crashes the kernel driver, so nodes BSOD/crashloop. Roll back the bad channel content — rebooting alone re-loads the bad file and does not fix it.",a node hardware failure | a kernel/driver code bug | rebooting the nodes will fix it | a bad application deploy,"the 'security-agent' DaemonSet shipped a bad Channel File (malformed content data, not a code/driver change) that crashes the kernel driver, so nodes BSOD/crashloop. Roll back the bad channel content — rebooting alone re-loads the bad file and does not fix it.",CORRECT,,
crowdstrike_bsod#1,crowdstrike_bsod,herring,"the 'security-agent' DaemonSet shipped a bad Channel File (malformed content data, not a code/driver change) that crashes the kernel driver, so nodes BSOD/crashloop. Roll back the bad channel content — rebooting alone re-loads the bad file and does not fix it.",a node hardware failure | a kernel/driver code bug | rebooting the nodes will fix it | a bad application deploy,the incident is caused by a node hardware failure,WRONG,,
crowdstrike_bsod#2,crowdstrike_bsod,generic,"the 'security-agent' DaemonSet shipped a bad Channel File (malformed content data, not a code/driver change) that crashes the kernel driver, so nodes BSOD/crashloop. Roll back the bad channel content — rebooting alone re-loads the bad file and does not fix it.",a node hardware failure | a kernel/driver code bug | rebooting the nodes will fix it | a bad application deploy,the service is just overloaded and needs more replicas,WRONG,,
datadog_systemd_cilium#0,datadog_systemd_cilium,gold,"a legacy apt auto-update restarted systemd-networkd which flushed the Cilium CNI routes on every node ('cni-agent'), so pods lost networking fleet-wide — not a global control-plane incident",a global control-plane outage | the nodes need replacement | a regional database failure | a bad application deploy,"a legacy apt auto-update restarted systemd-networkd which flushed the Cilium CNI routes on every node ('cni-agent'), so pods lost networking fleet-wide — not a global control-plane incident",CORRECT,,
datadog_systemd_cilium#1,datadog_systemd_cilium,herring,"a legacy apt auto-update restarted systemd-networkd which flushed the Cilium CNI routes on every node ('cni-agent'), so pods lost networking fleet-wide — not a global control-plane incident",a global control-plane outage | the nodes need replacement | a regional database failure | a bad application deploy,the incident is caused by a global control-plane outage,WRONG,,
datadog_systemd_cilium#2,datadog_systemd_cilium,generic,"a legacy apt auto-update restarted systemd-networkd which flushed the Cilium CNI routes on every node ('cni-agent'), so pods lost networking fleet-wide — not a global control-plane incident",a global control-plane outage | the nodes need replacement | a regional database failure | a bad application deploy,the service is just overloaded and needs more replicas,WRONG,,
facebook_bgp_backbone#0,facebook_bgp_backbone,gold,a routine config change on 'backbone-router' withdrew the backbone BGP routes and took the DNS edge offline globally; every product is a downstream victim and the tools needed to fix it are themselves unreachable,a DNS provider outage | a data-center power failure | a bad application deploy | a DDoS attack,a routine config change on 'backbone-router' withdrew the backbone BGP routes and took the DNS edge offline globally; every product is a downstream victim and the tools needed to fix it are themselves unreachable,CORRECT,,
facebook_bgp_backbone#1,facebook_bgp_backbone,herring,a routine config change on 'backbone-router' withdrew the backbone BGP routes and took the DNS edge offline globally; every product is a downstream victim and the tools needed to fix it are themselves unreachable,a DNS provider outage | a data-center power failure | a bad application deploy | a DDoS attack,the incident is caused by a DNS provider outage,WRONG,,
facebook_bgp_backbone#2,facebook_bgp_backbone,generic,a routine config change on 'backbone-router' withdrew the backbone BGP routes and took the DNS edge offline globally; every product is a downstream victim and the tools needed to fix it are themselves unreachable,a DNS provider outage | a data-center power failure | a bad application deploy | a DDoS attack,the service is just overloaded and needs more replicas,WRONG,,
firefox_addon_cert#0,firefox_addon_cert,gold,"the intermediate signing certificate behind 'addon-signer' expired, so every add-on signature was rejected and add-ons were disabled fleet-wide; re-issuing the intermediate certificate restores them — it is not an add-on bug or a bad release",a bad add-on release | a browser application bug | a network/CDN fault | a capacity problem,"the intermediate signing certificate behind 'addon-signer' expired, so every add-on signature was rejected and add-ons were disabled fleet-wide; re-issuing the intermediate certificate restores them — it is not an add-on bug or a bad release",CORRECT,,
firefox_addon_cert#1,firefox_addon_cert,herring,"the intermediate signing certificate behind 'addon-signer' expired, so every add-on signature was rejected and add-ons were disabled fleet-wide; re-issuing the intermediate certificate restores them — it is not an add-on bug or a bad release",a bad add-on release | a browser application bug | a network/CDN fault | a capacity problem,the incident is caused by a bad add-on release,WRONG,,
firefox_addon_cert#2,firefox_addon_cert,generic,"the intermediate signing certificate behind 'addon-signer' expired, so every add-on signature was rejected and add-ons were disabled fleet-wide; re-issuing the intermediate certificate restores them — it is not an add-on bug or a bad release",a bad add-on release | a browser application bug | a network/CDN fault | a capacity problem,the service is just overloaded and needs more replicas,WRONG,,
gcp_service_control#0,gcp_service_control,gold,the 'service-control' control plane is crash-looping from a bad/blank quota-policy config (NullPointer); the product 503s on workspace / compute-api are DOWNSTREAM symptoms of that upstream control-plane failure,"a product service (workspace, compute-api, or bigquery-api) being the root cause | the api-gateway itself being the root | the recent workspace deploy / a bad deploy on a product | resource exhaustion on a product service | just restarting or scaling service-control (that herds Spanner and worsens it)",the 'service-control' control plane is crash-looping from a bad/blank quota-policy config (NullPointer); the product 503s on workspace / compute-api are DOWNSTREAM symptoms of that upstream control-plane failure,CORRECT,,
gcp_service_control#1,gcp_service_control,herring,the 'service-control' control plane is crash-looping from a bad/blank quota-policy config (NullPointer); the product 503s on workspace / compute-api are DOWNSTREAM symptoms of that upstream control-plane failure,"a product service (workspace, compute-api, or bigquery-api) being the root cause | the api-gateway itself being the root | the recent workspace deploy / a bad deploy on a product | resource exhaustion on a product service | just restarting or scaling service-control (that herds Spanner and worsens it)","the incident is caused by a product service (workspace, compute-api, or bigquery-api) being the root cause",WRONG,,
gcp_service_control#2,gcp_service_control,generic,the 'service-control' control plane is crash-looping from a bad/blank quota-policy config (NullPointer); the product 503s on workspace / compute-api are DOWNSTREAM symptoms of that upstream control-plane failure,"a product service (workspace, compute-api, or bigquery-api) being the root cause | the api-gateway itself being the root | the recent workspace deploy / a bad deploy on a product | resource exhaustion on a product service | just restarting or scaling service-control (that herds Spanner and worsens it)",the service is just overloaded and needs more replicas,WRONG,,
github_dns_zone_corruption#0,github_dns_zone_corruption,gold,a Puppet bug plus a circular dependency in the 'dns-pipeline' (the DNS deploy needs DNS) pushed a truncated zone causing NXDOMAIN; re-running the DNS deploy without a sanity check makes it worse — fix the zone via direct API with validation,a pure caching-DNS bug | re-running the DNS deploy will fix it | a fileserver hardware fault | a bad application deploy,a Puppet bug plus a circular dependency in the 'dns-pipeline' (the DNS deploy needs DNS) pushed a truncated zone causing NXDOMAIN; re-running the DNS deploy without a sanity check makes it worse — fix the zone via direct API with validation,CORRECT,,
github_dns_zone_corruption#1,github_dns_zone_corruption,herring,a Puppet bug plus a circular dependency in the 'dns-pipeline' (the DNS deploy needs DNS) pushed a truncated zone causing NXDOMAIN; re-running the DNS deploy without a sanity check makes it worse — fix the zone via direct API with validation,a pure caching-DNS bug | re-running the DNS deploy will fix it | a fileserver hardware fault | a bad application deploy,the incident is caused by a pure caching-DNS bug,WRONG,,
github_dns_zone_corruption#2,github_dns_zone_corruption,generic,a Puppet bug plus a circular dependency in the 'dns-pipeline' (the DNS deploy needs DNS) pushed a truncated zone causing NXDOMAIN; re-running the DNS deploy without a sanity check makes it worse — fix the zone via direct API with validation,a pure caching-DNS bug | re-running the DNS deploy will fix it | a fileserver hardware fault | a bad application deploy,the service is just overloaded and needs more replicas,WRONG,,
github_mysql_semaphore_rename#0,github_mysql_semaphore_rename,gold,the final RENAME of a large migration deadlocked the InnoDB semaphore so the read 'replica-pool' entered a crash-recovery loop; ADDING capacity feeds new replicas into the same loop — pull traffic and let the RENAME finish,a plain capacity shortage | adding/promoting read replicas will help | a bad deploy | a network fault,the final RENAME of a large migration deadlocked the InnoDB semaphore so the read 'replica-pool' entered a crash-recovery loop; ADDING capacity feeds new replicas into the same loop — pull traffic and let the RENAME finish,CORRECT,,
github_mysql_semaphore_rename#1,github_mysql_semaphore_rename,herring,the final RENAME of a large migration deadlocked the InnoDB semaphore so the read 'replica-pool' entered a crash-recovery loop; ADDING capacity feeds new replicas into the same loop — pull traffic and let the RENAME finish,a plain capacity shortage | adding/promoting read replicas will help | a bad deploy | a network fault,the incident is caused by a plain capacity shortage,WRONG,,
github_mysql_semaphore_rename#2,github_mysql_semaphore_rename,generic,the final RENAME of a large migration deadlocked the InnoDB semaphore so the read 'replica-pool' entered a crash-recovery loop; ADDING capacity feeds new replicas into the same loop — pull traffic and let the RENAME finish,a plain capacity shortage | adding/promoting read replicas will help | a bad deploy | a network fault,the service is just overloaded and needs more replicas,WRONG,,
